date,dns,count
1/4/2023,aydinhedef.com.tr,2
1/4/2023,aydinkulis.com,1
1/4/2023,aydinlik.com.tr,7
1/4/2023,bbc.com,1
1/4/2023,bbnhaber.com.tr,2
1/4/2023,beyazgazete.com,8
1/4/2023,beyazperde.com,9
1/4/2023,bgazete.com.tr,1
1/4/2023,birgun.net,19
1/4/2023,bloomberght.com,4
1/4/2023,bolugundem.com,1
1/4/2023,bomba32.com,2
1/4/2023,borsagundem.com,2
1/4/2023,brtk.net,1
1/4/2023,bursa.com,6
1/4/2023,bursadabugun.com,7
1/4/2023,bursahakimiyet.com.tr,15
1/4/2023,bursaspordabugun.com,5
1/4/2023,buyuksivas.com,1
1/4/2023,cagdaskocaeli.com.tr,1
1/4/2023,canakkalegundem.net,1
1/4/2023,canlihaber.com,2
1/4/2023,cerkezkoybakis.com.tr,1
1/4/2023,chip.com.tr,1
1/4/2023,cnnturk.com,22
1/4/2023,cumhuriyet.com.tr,64
1/4/2023,demokrathaber.org,1
1/4/2023,detaykibris.com,2
1/4/2023,dha.com.tr,4
1/4/2023,diken.com.tr,25
1/4/2023,dikgazete.com,2
1/4/2023,diyadinnet.com,2
1/4/2023,diyanethaber.com.tr,2
1/4/2023,dogruhaber.com.tr,12
1/4/2023,donanimhaber.com,4
1/4/2023,dunya.com,14
1/4/2023,dunyabulteni.net,3
1/4/2023,dw.com,1
1/4/2023,edirnejethaber.com,3
1/4/2023,elazigsonhaber.com,1
1/4/2023,ensonhaber.com,65
1/4/2023,erzincanmedya.com,5
1/4/2023,euronews.com,4
1/4/2023,evrensel.net,1
1/4/2023,f5haber.com,1
1/4/2023,fanatik.com.tr,29
1/4/2023,fenerbahce.org,1
1/4/2023,fibhaber.com,4
1/4/2023,finansgundem.com,4
1/4/2023,fotomac.com.tr,73
1/4/2023,fotospor.com,1
1/4/2023,gazetedamga.com.tr,2
1/4/2023,gazeteduvar.com.tr,14
1/4/2023,gazeteilksayfa.com,1
1/4/2023,gazeteipekyol.com,3
1/4/2023,gazetevatan.com,4
1/4/2023,gaziantepgunes.com,1
1/4/2023,gaziantepinhabercisi.com,2
1/4/2023,gazianteppusula.com,2
1/4/2023,gercekgundem.com,1
1/4/2023,gercekizmir.com,3
1/4/2023,gorunumgazetesi.com.tr,2
1/4/2023,gunaydinmilas.com,1
1/4/2023,gundemkibris.com,1
1/4/2023,gunes.com,1
1/4/2023,gunestv.com,1
1/4/2023,guneydoguguncel.com,1
